No,UID,Tanggal,Waktu
737,0430873110,0,1:49:15
738,0431438822,0,1:49:17
739,0430717494,0,1:49:18
740,0431536550,0,1:49:20
741,0819727876,0,1:49:22
742,0819643572,0,1:49:24
743,0442354038,0,1:49:26
744,0442525958,0,1:49:34
745,0442770326,0,1:49:36
746,0442716726,0,1:49:38
747,0819550180,0,1:49:40
748,0430792790,0,1:49:42
749,0441694982,0,1:49:44
750,0442446550,0,1:49:46
751,0439849654,0,1:49:47
752,0442403286,0,1:49:50
753,0442071862,0,1:49:52
754,0431324022,0,1:49:54
755,0819915508,0,1:49:55
756,0818887892,0,1:49:59
757,0819014612,0,1:50:1
758,0818922388,0,1:50:3
759,0818624900,0,1:50:5
760,0818837108,0,1:50:7
761,0818853012,0,1:50:9
762,0431923510,0,1:50:11
763,0818766740,0,1:50:13
764,0819795412,0,1:50:15
765,0431472150,0,1:50:17
766,0430773670,0,1:50:18
767,0819388356,0,1:50:21
768,0819603460,0,1:50:22
769,0430765158,0,1:50:24
770,0431285926,0,1:50:26
771,0430681654,0,1:50:28
772,0819744164,0,1:50:30
773,0818841300,0,1:50:32
774,0442051734,0,1:50:34
775,0439795254,0,1:50:35
776,0431971478,0,1:50:37
777,0430731350,0,1:50:39
778,0441929830,0,1:50:41
779,0442133750,0,1:50:43
780,0430822710,0,1:50:45
781,0430826198,0,1:50:47
782,0441975750,0,1:50:49
783,0441852598,0,1:50:51
784,0430702678,0,1:50:53
785,0430808742,0,1:50:54
786,0431334774,0,1:50:57
787,0431533686,0,1:50:59
788,0430949110,0,1:51:1
789,0819355812,0,1:51:3
790,0430757910,0,1:51:5
791,0430866982,0,1:51:6
792,0819008532,0,1:51:8
793,0819436468,0,1:51:10
794,0430874086,0,1:51:15
795,0819833924,0,1:51:17
796,0431400838,0,1:51:19
797,0819249428,0,1:51:21
798,0818817332,0,1:51:23
799,0819655892,0,1:51:25
800,0818917092,0,1:51:27
801,0819865412,0,1:51:30
802,0818989476,0,1:51:32
803,0819127684,0,1:51:34
804,0818763572,0,1:51:36
805,0819421348,0,1:51:39
806,0819845444,0,1:51:41
807,0819786580,0,1:51:43
808,0430801046,0,1:51:45
809,0819771828,0,1:51:47
810,0819484212,0,1:51:50
811,0819814996,0,1:51:52
812,0819226324,0,1:51:55
813,0430691190,0,1:51:57
814,0430784598,0,1:51:59
815,0439496774,0,1:52:1
816,0431894486,0,1:52:3
817,0431959990,0,1:52:6
818,0818963316,0,1:52:8
819,0819641412,0,1:52:10
820,0442674534,0,1:52:12
821,0442499206,0,1:52:14
822,0441914214,0,1:52:16
823,0441970422,0,1:52:18
824,0430877750,0,1:52:20
825,0441963766,0,1:52:22
826,0819229108,0,1:52:24
827,0819062516,0,1:52:26
828,0431414726,0,1:52:28
829,0442676902,0,1:52:30
830,0431697286,0,1:52:32
831,0431690166,0,1:52:34
